id,name,enabled,applicable_if,expression,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
PB_ONES_KEEP_P10_P90,Eliminate if Ones-Sum NOT in P10–P90 (15–29),True,,not (15 <= ones_sum <= 29),,,,,,,,,,
PB_ONES_KEEP_P20_P80,Eliminate if Ones-Sum NOT in P20–P80 (17–26),True,,not (17 <= ones_sum <= 26),,,,,,,,,,
PB_ONES_KEEP_P30_P70,Eliminate if Ones-Sum NOT in P30–P70 (19–25),False,,not (19 <= ones_sum <= 25),,,,,,,,,,
PB_ONES_LOWTAIL_LT_P10,Eliminate if Ones-Sum < P10 (15),True,,(ones_sum < 15),,,,,,,,,,
PB_ONES_HIGHTAIL_GT_P90,Eliminate if Ones-Sum > P90 (29),True,,(ones_sum > 29),,,,,,,,,,
